Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,,United Kingdom
489463,71477,short,-240,2009-12-01 10:52:00,0.0,,United Kingdom
489467,85123A,21733 mixed,-192,2009-12-01 10:53:00,0.0,,United Kingdom
489521,21646,,-50,2009-12-01 11:44:00,0.0,,United Kingdom
489655,20683,,-44,2009-12-01 17:26:00,0.0,,United Kingdom
489659,21350,,230,2009-12-01 17:39:00,0.0,,United Kingdom
489660,35956,lost,-1043,2009-12-01 17:43:00,0.0,,United Kingdom
489663,35605A,damages,-117,2009-12-01 18:02:00,0.0,,United Kingdom
489781,84292,,17,2009-12-02 11:45:00,0.0,,United Kingdom
489806,18010,,-770,2009-12-02 12:42:00,0.0,,United Kingdom
489820,21133,invcd as 84879?,-720,2009-12-02 13:23:00,0.0,,United Kingdom
489821,85049G,,-240,2009-12-02 13:25:00,0.0,,United Kingdom
489825,22076,6 RIBBONS EMPIRE  ,12,2009-12-02 13:34:00,0.0,16126.0,United Kingdom
489861,DOT,DOTCOM POSTAGE,1,2009-12-02 14:50:00,0.0,,United Kingdom
489882,35751C,,12,2009-12-02 16:22:00,0.0,,United Kingdom
489898,79323G,,954,2009-12-03 09:40:00,0.0,,United Kingdom
489899,79323GR,sold as gold,-954,2009-12-03 09:41:00,0.0,,United Kingdom
489901,21098,,-200,2009-12-03 09:47:00,0.0,,United Kingdom
489903,21166,,48,2009-12-03 09:57:00,0.0,,United Kingdom
489998,48185,DOOR MAT FAIRY CAKE,2,2009-12-03 11:19:00,0.0,15658.0,United Kingdom
490007,84347,21494,-720,2009-12-03 12:09:00,0.0,,United Kingdom
490015,21982,,467,2009-12-03 12:29:00,0.0,,United Kingdom
490016,21982,,-1012,2009-12-03 12:30:00,0.0,,United Kingdom
490055,20620,,-25,2009-12-03 13:22:00,0.0,,United Kingdom
490084,85064,,-89,2009-12-03 15:37:00,0.0,,United Kingdom
490123,84508B,,184,2009-12-03 18:08:00,0.0,,United Kingdom
490130,21493,lost?,-600,2009-12-03 18:28:00,0.0,,United Kingdom
490146,21558,,-169,2009-12-04 09:29:00,0.0,,United Kingdom
490150,84347,,80,2009-12-04 09:44:00,0.0,,United Kingdom
490165,21493,,-106,2009-12-04 11:32:00,0.0,,United Kingdom
490354,21489,,-23,2009-12-04 16:39:00,0.0,,United Kingdom
490379,21490,,-44,2009-12-05 13:26:00,0.0,,United Kingdom
490384,84721,,-42,2009-12-05 14:00:00,0.0,,United Kingdom
490540,37446,,-725,2009-12-07 09:24:00,0.0,,United Kingdom
490543,37446,,222,2009-12-07 09:45:00,0.0,,United Kingdom
490688,21133,,270,2009-12-07 13:50:00,0.0,,United Kingdom
490713,84347,,-20,2009-12-07 15:26:00,0.0,,United Kingdom
490715,22158,,-30,2009-12-07 15:27:00,0.0,,United Kingdom
490716,22158,,6,2009-12-07 15:28:00,0.0,,United Kingdom
490727,M,Manual,1,2009-12-07 16:38:00,0.0,17231.0,United Kingdom
490735,35976B,,-60,2009-12-07 17:12:00,0.0,,United Kingdom
490736,35983,,-200,2009-12-07 17:13:00,0.0,,United Kingdom
490758,72008,,3000,2009-12-08 09:38:00,0.0,,United Kingdom
490765,21450,damaged,-31,2009-12-08 10:59:00,0.0,,United Kingdom
490766,51008,wet,-200,2009-12-08 11:06:00,0.0,,United Kingdom
490961,22065,CHRISTMAS PUDDING TRINKET POT ,1,2009-12-08 15:25:00,0.0,14108.0,United Kingdom
490961,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2009-12-08 15:25:00,0.0,14108.0,United Kingdom
490975,15059A,,-126,2009-12-08 16:41:00,0.0,,United Kingdom
490976,84571,,-120,2009-12-08 16:42:00,0.0,,United Kingdom
491046,20987,,-100,2009-12-09 10:03:00,0.0,,United Kingdom
491047,21982,,-50,2009-12-09 10:04:00,0.0,,United Kingdom
491053,85185F,,50,2009-12-09 10:47:00,0.0,,United Kingdom
491065,84855,MIA,-108,2009-12-09 11:59:00,0.0,,United Kingdom
491066,35949,,-67,2009-12-09 12:17:00,0.0,,United Kingdom
491108,84922,,-360,2009-12-09 14:29:00,0.0,,United Kingdom
491106,84922,,90,2009-12-09 14:29:00,0.0,,United Kingdom
491107,84922,,180,2009-12-09 14:29:00,0.0,,United Kingdom
491115,84922,,40,2009-12-09 14:55:00,0.0,,United Kingdom
491117,20879,,12,2009-12-09 14:59:00,0.0,,United Kingdom
491120,35980C,,30,2009-12-09 15:05:00,0.0,,United Kingdom
491128,21490,,-20,2009-12-09 16:00:00,0.0,,United Kingdom
491137,21489,,-8,2009-12-09 16:25:00,0.0,,United Kingdom
491140,22188,,65,2009-12-09 16:42:00,0.0,,United Kingdom
491141,22174,,-58,2009-12-09 16:43:00,0.0,,United Kingdom
491142,22174,,2,2009-12-09 16:44:00,0.0,,United Kingdom
491167,17013A,,-45,2009-12-10 11:09:00,0.0,,United Kingdom
491206,84841,,-54,2009-12-10 14:10:00,0.0,,United Kingdom
491355,17014C,,-96,2009-12-10 15:52:00,0.0,,United Kingdom
491451,20940,,-46,2009-12-11 11:09:00,0.0,,United Kingdom
491638,21353,,-136,2009-12-11 15:59:00,0.0,,United Kingdom
491639,20668,,-1395,2009-12-11 16:02:00,0.0,,United Kingdom
491732,79030A,smashed,-350,2009-12-14 10:00:00,0.0,,United Kingdom
491817,72487,,-322,2009-12-14 13:37:00,0.0,,United Kingdom
491968,gift_0001_80,,2,2009-12-14 17:56:00,0.0,,United Kingdom
491971,85042,ANTIQUE LILY FAIRY LIGHTS,1,2009-12-14 18:37:00,0.0,,United Kingdom
491972,21100,bad quality,-76,2009-12-14 18:43:00,0.0,,United Kingdom
491974,72752B,,-21,2009-12-14 18:44:00,0.0,,United Kingdom
491975,72752C,,-24,2009-12-14 18:44:00,0.0,,United Kingdom
491973,72752A,,-18,2009-12-14 18:44:00,0.0,,United Kingdom
491978,72755C,,-60,2009-12-14 18:45:00,0.0,,United Kingdom
491977,72755B,,-23,2009-12-14 18:45:00,0.0,,United Kingdom
491976,72752D,,-46,2009-12-14 18:45:00,0.0,,United Kingdom
491990,C2,,100,2009-12-15 10:06:00,0.0,,United Kingdom
492000,21719,,-81,2009-12-15 11:22:00,0.0,,United Kingdom
492001,21724,,-99,2009-12-15 11:22:00,0.0,,United Kingdom
492002,10138,,-36,2009-12-15 11:23:00,0.0,,United Kingdom
492006,71477,,-100,2009-12-15 11:25:00,0.0,,United Kingdom
492079,85042,ANTIQUE LILY FAIRY LIGHTS,8,2009-12-15 13:49:00,0.0,15070.0,United Kingdom
492105,22113,,-100,2009-12-15 14:07:00,0.0,,United Kingdom
492171,22170,,-30,2009-12-15 14:53:00,0.0,,United Kingdom
492182,20870,,-29,2009-12-15 15:41:00,0.0,,United Kingdom
492183,20879,,-46,2009-12-15 15:42:00,0.0,,United Kingdom
492200,20879,,6,2009-12-15 16:06:00,0.0,,United Kingdom
492215,16169D,,-150,2009-12-15 17:19:00,0.0,,United Kingdom
492217,35815B,,-10,2009-12-15 17:28:00,0.0,,United Kingdom
492219,46775B,,-17,2009-12-15 17:44:00,0.0,,United Kingdom
492365,17011C,,-47,2009-12-16 13:56:00,0.0,,United Kingdom
492364,17011E,,-39,2009-12-16 13:56:00,0.0,,United Kingdom
492366,17013B,,-45,2009-12-16 13:57:00,0.0,,United Kingdom
492464,22187,,-96,2009-12-17 11:33:00,0.0,,United Kingdom
492523,72756,,-396,2009-12-17 12:30:00,0.0,,United Kingdom
492595,21543,,-152,2009-12-17 15:53:00,0.0,,United Kingdom
492646,72267,,72,2009-12-17 17:20:00,0.0,,United Kingdom
492719,48173C,MIA,-9,2009-12-18 10:49:00,0.0,,United Kingdom
492748,47504J,,-70,2009-12-18 13:09:00,0.0,,United Kingdom
492760,21143,ANTIQUE GLASS HEART DECORATION ,12,2009-12-18 14:22:00,0.0,18071.0,United Kingdom
492788,72739B,discoloured,-70,2009-12-18 17:45:00,0.0,,United Kingdom
492786,46000M,,-60,2009-12-18 17:45:00,0.0,,United Kingdom
492787,85112,damaged,-38,2009-12-18 17:45:00,0.0,,United Kingdom
492790,37503,damaged,-19,2009-12-18 17:46:00,0.0,,United Kingdom
492789,72739C,discoloured,-64,2009-12-18 17:46:00,0.0,,United Kingdom
492791,84029G,,-30,2009-12-18 17:47:00,0.0,,United Kingdom
492835,22187,,48,2009-12-21 09:49:00,0.0,,United Kingdom
493070,16161C,,250,2009-12-22 09:27:00,0.0,,United Kingdom
493093,21479,,-91,2009-12-22 10:55:00,0.0,,United Kingdom
493108,47503F,,2300,2009-12-22 11:23:00,0.0,,United Kingdom
493120,72045D,,520,2009-12-22 11:28:00,0.0,,United Kingdom
493133,84249D,,920,2009-12-22 11:30:00,0.0,,United Kingdom
493129,17164B,,1800,2009-12-22 11:30:00,0.0,,United Kingdom
493137,84247H,,35,2009-12-22 11:31:00,0.0,,United Kingdom
493140,84199,,480,2009-12-22 11:32:00,0.0,,United Kingdom
